record_id,document_type,image_filename,extracted_date,extracted_store_or_dept,extracted_amount,extracted_scores,extracted_note,confidence,error_message,preprocessing_used
R-0044,receipt,data/input_images/receipts/receipt_044_R-0044.jpg,2026-06-02,모두카페,224950.0,,,0.9427,,True
S-0062,survey,data/input_images/surveys/survey_062_S-0062.jpg,2026-05-22,교육팀,,"{""satisfaction_score"": 5, ""usability_score"": 2, ""speed_score"": 5}",메뉴 구성이 좋음,0.9842,,True
R-0086,receipt,data/input_images/receipts/receipt_086_R-0086.jpg,2026-03-17,업무자동화카페,180400.0,,,0.9733,,True
R-0027,receipt,data/input_images/receipts/receipt_027_R-0027.jpg,2026-04-01,데이터랩서점,85250.0,,,0.9619,,True
S-0099,survey,data/input_images/surveys/survey_099_S-0099.jpg,2026-05-21,운영팀,,"{""satisfaction_score"": 3, ""usability_score"": 2, ""speed_score"": 5}",차트 설명이 필요함,0.9423,,True
R-0058,receipt,data/input_images/receipts/receipt_058_R-0058.jpg,2026-03-31,데이터랩서점,68750.0,,,0.8026,,True
R-0112,receipt,data/input_images/receipts/receipt_112_R-0112.jpg,2026-04-28,디지털스캔샵,206250.0,,,0.9485,,True
S-0095,survey,data/input_images/surveys/survey_095_S-0095.jpg,2026-04-09,운영팀,,"{""satisfaction_score"": 2, ""usability_score"": 5, ""speed_score"": 1}",속도 개선 필요,0.8365,,True
S-0036,survey,data/input_images/surveys/survey_036_S-0036.jpg,2026-05-20,기획팀,,"{""satisfaction_score"": 4, ""usability_score"": 4, ""speed_score"": 1}",차트 설명이 필요함,0.9363,,True
S-0024,survey,data/input_images/surveys/survey_024_S-0024.jpg,2026-05-18,교육팀,,"{""satisfaction_score"": 5, ""usability_score"": 4, ""speed_score"": 2}",데이터 보정 기능 좋음,0.8724,,True
R-0063,receipt,data/input_images/receipts/receipt_063_R-0063.jpg,2026-07-07,서울프린트,165550.0,,,0.8123,,True
R-0101,receipt,data/input_images/receipts/receipt_101_R-0101.jpg,2026-03-06,테크문구,128150.0,,,0.8014,,True
S-0111,survey,data/input_images/surveys/survey_111_S-0111.jpg,2026-05-28,교육팀,,"{""satisfaction_score"": 5, ""usability_score"": 3, ""speed_score"": 5}",이미지 업로드 편리,0.8034,,True
R-0066,receipt,data/input_images/receipts/receipt_066_R-0066.jpg,2026-04-24,스마트오피스,125400.0,,,0.8278,,True
S-0082,survey,data/input_images/surveys/survey_082_S-0082.jpg,2026-04-20,운영팀,,"{""satisfaction_score"": 5, ""usability_score"": 4, ""speed_score"": 3}",모바일 화면 개선,0.9216,,True
R-0097,receipt,data/input_images/receipts/receipt_097_R-0097.jpg,2026-04-25,클라우드문구,146850.0,,,0.8687,,True
S-0057,survey,data/input_images/surveys/survey_057_S-0057.jpg,2026-06-23,재무팀,,"{""satisfaction_score"": 3, ""usability_score"": null, ""speed_score"": 3}",대시보드가 보기 쉬움,0.8449,,True
R-0041,receipt,data/input_images/receipts/receipt_041_R-0041.jpg,2026-05-06,스마트오피스,149050.0,,,0.9405,,True
S-0056,survey,data/input_images/surveys/survey_056_S-0056.jpg,2026-06-24,교육팀,,"{""satisfaction_score"": 4, ""usability_score"": 4, ""speed_score"": 2}",속도 개선 필요,0.8416,,True
R-0098,receipt,data/input_images/receipts/receipt_098_R-0098.jpg,2026-06-16,그린오피스,92400.0,,,0.9385,,True
S-0086,survey,data/input_images/surveys/survey_086_S-0086.jpg,2026-04-22,재무팀,,"{""satisfaction_score"": 2, ""usability_score"": 5, ""speed_score"": 4}",,0.7834,,True
S-0040,survey,data/input_images/surveys/survey_040_S-0040.jpg,2026-05-07,운영팀,,"{""satisfaction_score"": 3, ""usability_score"": 5, ""speed_score"": 5}",데이터 보정 기능 좋음,0.9467,,True
S-0053,survey,data/input_images/surveys/survey_053_S-0053.jpg,2026-04-26,기획팀,,"{""satisfaction_score"": 5, ""usability_score"": 3, ""speed_score"": 5}",보고서 자동화 유용,0.8779,,True
R-0079,receipt,data/input_images/receipts/receipt_079_R-0079.jpg,2026-06-12,스마트오피스,140250.0,,,0.8184,,True
S-0060,survey,data/input_images/surveys/survey_060_S-0060.jpg,2026-05-11,데이터팀,,"{""satisfaction_score"": 3, ""usability_score"": 3, ""speed_score"": 5}",이미지 업로드 편리,0.9346,,True
R-0090,receipt,data/input_images/receipts/receipt_090_R-0090.jpg,2026-03-22,업무자동화카페,187000.0,,,0.9263,,True
R-0051,receipt,data/input_images/receipts/receipt_051_R-0051.jpg,2026-03-22,스마트오피스,128700.0,,,0.9295,,True
S-0055,survey,data/input_images/surveys/survey_055_S-0055.jpg,2026-07-09,기획팀,,"{""satisfaction_score"": 3, ""usability_score"": 2, ""speed_score"": 5}",속도 개선 필요,0.9172,,True
S-0080,survey,data/input_images/surveys/survey_080_S-0080.jpg,2026-05-10,데이터팀,,"{""satisfaction_score"": 2, ""usability_score"": 3, ""speed_score"": 3}",대시보드가 보기 쉬움,0.9317,,True
S-0110,survey,data/input_images/surveys/survey_110_S-0110.jpg,2026-03-06,데이터팀,,"{""satisfaction_score"": 5, ""usability_score"": 3, ""speed_score"": 3}",입력 절차가 간단함,0.9847,,True
R-0014,receipt,data/input_images/receipts/receipt_014_R-0014.jpg,2026-03-14,디지털스캔샵,147400.0,,,0.9185,,True
R-0032,receipt,data/input_images/receipts/receipt_032_R-0032.jpg,2026-05-24,그린오피스,315150.0,,,0.9162,,True
S-0001,survey,data/input_images/surveys/survey_001_S-0001.jpg,2026-03-10,영업팀,,"{""satisfaction_score"": 3, ""usability_score"": 5, ""speed_score"": 1}",이미지 업로드 편리,0.9207,,True
S-0002,survey,data/input_images/surveys/survey_002_S-0002.jpg,2026-06-29,인사팀,,"{""satisfaction_score"": 4, ""usability_score"": 5, ""speed_score"": 4}",대시보드가 보기 쉬움,0.9865,,True
S-0108,survey,data/input_images/surveys/survey_108_S-0108.jpg,2026-05-25,재무팀,,"{""satisfaction_score"": 5, ""usability_score"": 2, ""speed_score"": 3}",차트 설명이 필요함,0.8697,,True
R-0092,receipt,data/input_images/receipts/receipt_092_R-0092.jpg,2026-05-09,데이터랩서점,281050.0,,,0.9437,,True
R-0083,receipt,data/input_images/receipts/receipt_083_R-0083.jpg,2026-03-04,AI세미나센터,230450.0,,,0.9497,,True
R-0110,receipt,data/input_images/receipts/receipt_110_R-0110.jpg,2026-06-21,스마트오피스,48950.0,,,0.8227,,True
R-0065,receipt,data/input_images/receipts/receipt_065_R-0065.jpg,2026-03-14,테크문구,334400.0,,,0.8116,,True
S-0090,survey,data/input_images/surveys/survey_090_S-0090.jpg,2026-06-16,재무팀,,"{""satisfaction_score"": 4, ""usability_score"": 3, ""speed_score"": 4}",모바일 화면 개선,0.9263,,True
R-0017,receipt,data/input_images/receipts/receipt_017_R-0017.jpg,2026-05-04,서울프린트,111650.0,,,0.9518,,True
S-0019,survey,data/input_images/surveys/survey_019_S-0019.jpg,2026-04-24,재무팀,,"{""satisfaction_score"": 4, ""usability_score"": 5, ""speed_score"": 2}",이미지 업로드 편리,0.8663,,True
S-0039,survey,data/input_images/surveys/survey_039_S-0039.jpg,2026-06-09,재무팀,,"{""satisfaction_score"": 2, ""usability_score"": 5, ""speed_score"": 2}",모바일 화면 개선,0.8224,,True
S-0102,survey,data/input_images/surveys/survey_102_S-0102.jpg,2026-05-11,데이터팀,,"{""satisfaction_score"": 4, ""usability_score"": 5, ""speed_score"": 5}",OCR 결과 확인 필요,0.8478,,True
R-0031,receipt,data/input_images/receipts/receipt_031_R-0031.jpg,2026-04-25,모두카페,19800.0,,,0.911,,True
R-0036,receipt,data/input_images/receipts/receipt_036_R-0036.jpg,2026-04-19,클라우드문구,147400.0,,,0.9363,,True
R-0082,receipt,data/input_images/receipts/receipt_082_R-0082.jpg,2026-05-27,클라우드문구,188100.0,,,0.9216,,True
R-0015,receipt,data/input_images/receipts/receipt_015_R-0015.jpg,2026-03-16,클라우드문구,243100.0,,,0.7813,,True
R-0113,receipt,data/input_images/receipts/receipt_113_R-0113.jpg,2026-05-25,스마트오피스,146300.0,,,0.9124,,True
S-0015,survey,data/input_images/surveys/survey_015_S-0015.jpg,2026-04-27,인사팀,,"{""satisfaction_score"": 3, ""usability_score"": 5, ""speed_score"": 3}",입력 절차가 간단함,0.7813,,True
S-0050,survey,data/input_images/surveys/survey_050_S-0050.jpg,2026-04-28,데이터팀,,"{""satisfaction_score"": 2, ""usability_score"": 2, ""speed_score"": 2}",이미지 업로드 편리,0.8093,,True
S-0029,survey,data/input_images/surveys/survey_029_S-0029.jpg,2026-05-23,영업팀,,"{""satisfaction_score"": 4, ""usability_score"": 3, ""speed_score"": 3}",보고서 자동화 유용,0.818,,True
S-0070,survey,data/input_images/surveys/survey_070_S-0070.jpg,2026-06-21,인사팀,,"{""satisfaction_score"": 5, ""usability_score"": 4, ""speed_score"": 3}",보고서 자동화 유용,0.9828,,True
S-0021,survey,data/input_images/surveys/survey_021_S-0021.jpg,2026-05-10,마케팅팀,,"{""satisfaction_score"": 4, ""usability_score"": 3, ""speed_score"": 1}",데이터 보정 기능 좋음,0.9232,,True
R-0080,receipt,data/input_images/receipts/receipt_080_R-0080.jpg,2026-04-22,그린오피스,91300.0,,,0.9317,,True
S-0038,survey,data/input_images/surveys/survey_038_S-0038.jpg,2026-04-20,영업팀,,"{""satisfaction_score"": 4, ""usability_score"": 2, ""speed_score"": 5}",입력 절차가 간단함,0.9612,,True
R-0029,receipt,data/input_images/receipts/receipt_029_R-0029.jpg,2026-05-18,데이터랩서점,183150.0,,,0.9538,,True
R-0054,receipt,data/input_images/receipts/receipt_054_R-0054.jpg,2026-06-15,스마트오피스,160050.0,,,0.9831,,True
R-0002,receipt,data/input_images/receipts/receipt_002_R-0002.jpg,,스마트오피스,,,,0.8843,,True
R-0034,receipt,data/input_images/receipts/receipt_034_R-0034.jpg,2026-04-13,스마트오피스,255750.0,,,0.9523,,True
R-0020,receipt,data/input_images/receipts/receipt_020_R-0020.jpg,2026-05-10,그린오피스,117150.0,,,0.9825,,True
R-0040,receipt,data/input_images/receipts/receipt_040_R-0040.jpg,2026-04-24,서울프린트,123200.0,,,0.9467,,True
R-0037,receipt,data/input_images/receipts/receipt_037_R-0037.jpg,2026-04-03,그린오피스,94050.0,,,0.9646,,True
R-0008,receipt,data/input_images/receipts/receipt_008_R-0008.jpg,2026-04-09,스마트오피스,195250.0,,,0.9281,,True
R-0033,receipt,data/input_images/receipts/receipt_033_R-0033.jpg,2026-04-19,테크문구,97900.0,,,0.9556,,True
R-0102,receipt,data/input_images/receipts/receipt_102_R-0102.jpg,2026-03-01,서울프린트,193050.0,,,0.9219,,True
S-0118,survey,data/input_images/surveys/survey_118_S-0118.jpg,2026-04-09,영업팀,,"{""satisfaction_score"": 5, ""usability_score"": 2, ""speed_score"": 3}",모바일 화면 개선,0.9669,,True
R-0023,receipt,data/input_images/receipts/receipt_023_R-0023.jpg,,디지털스캔샵,153450.0,,,0.8843,,True
R-0039,receipt,data/input_images/receipts/receipt_039_R-0039.jpg,2026-04-10,데이터랩서점,161700.0,,,0.9268,,True
S-0034,survey,data/input_images/surveys/survey_034_S-0034.jpg,2026-04-29,데이터팀,,"{""satisfaction_score"": 3, ""usability_score"": 4, ""speed_score"": 4}",대시보드가 보기 쉬움,0.9523,,True
R-0028,receipt,data/input_images/receipts/receipt_028_R-0028.jpg,2026-05-12,모두카페,200200.0,,,0.919,,True
R-0059,receipt,data/input_images/receipts/receipt_059_R-0059.jpg,2026-07-05,업무자동화카페,94050.0,,,0.9279,,True
R-0120,receipt,data/input_images/receipts/receipt_120_R-0120.jpg,2026-07-03,데이터랩서점,274450.0,,,0.9512,,True
S-0098,survey,data/input_images/surveys/survey_098_S-0098.jpg,2026-04-20,운영팀,,"{""satisfaction_score"": 5, ""usability_score"": 3, ""speed_score"": 2}",대시보드가 보기 쉬움,0.9385,,True
S-0100,survey,data/input_images/surveys/survey_100_S-0100.jpg,2026-03-27,기획팀,,"{""satisfaction_score"": 3, ""usability_score"": 3, ""speed_score"": 5}",보고서 자동화 유용,0.9217,,True
S-0030,survey,data/input_images/surveys/survey_030_S-0030.jpg,2026-05-19,인사팀,,"{""satisfaction_score"": 5, ""usability_score"": null, ""speed_score"": 1}",OCR 결과 확인 필요,0.8118,,True
R-0114,receipt,data/input_images/receipts/receipt_114_R-0114.jpg,2026-04-21,업무자동화카페,171600.0,,,0.9293,,True
S-0066,survey,data/input_images/surveys/survey_066_S-0066.jpg,2026-05-29,인사팀,,"{""satisfaction_score"": 4, ""usability_score"": 3, ""speed_score"": 1}",속도 개선 필요,0.9157,,True
S-0032,survey,data/input_images/surveys/survey_032_S-0032.jpg,2026-04-03,교육팀,,"{""satisfaction_score"": 4, ""usability_score"": 3, ""speed_score"": 3}",입력 절차가 간단함,0.9162,,True
S-0022,survey,data/input_images/surveys/survey_022_S-0022.jpg,2026-06-17,운영팀,,"{""satisfaction_score"": 2, ""usability_score"": null, ""speed_score"": 4}",메뉴 구성이 좋음,0.7954,,True
S-0074,survey,data/input_images/surveys/survey_074_S-0074.jpg,2026-03-26,운영팀,,"{""satisfaction_score"": 3, ""usability_score"": 4, ""speed_score"": 5}",속도 개선 필요,0.8367,,True
S-0058,survey,data/input_images/surveys/survey_058_S-0058.jpg,2026-05-25,인사팀,,"{""satisfaction_score"": 3, ""usability_score"": 5, ""speed_score"": 1}",,0.8026,,True
R-0118,receipt,data/input_images/receipts/receipt_118_R-0118.jpg,2026-05-31,클라우드문구,,,,0.8001,,True
R-0007,receipt,data/input_images/receipts/receipt_007_R-0007.jpg,2026-05-24,데이터랩서점,119350.0,,,0.9359,,True
S-0083,survey,data/input_images/surveys/survey_083_S-0083.jpg,2026-05-27,운영팀,,"{""satisfaction_score"": 5, ""usability_score"": 3, ""speed_score"": 2}",속도 개선 필요,0.9497,,True
S-0072,survey,data/input_images/surveys/survey_072_S-0072.jpg,2026-03-13,영업팀,,"{""satisfaction_score"": 5, ""usability_score"": 4, ""speed_score"": 4}",데이터 보정 기능 좋음,0.9159,,True
R-0006,receipt,data/input_images/receipts/receipt_006_R-0006.jpg,2026-06-27,업무자동화카페,127050.0,,,0.9735,,True
S-0120,survey,data/input_images/surveys/survey_120_S-0120.jpg,2026-05-19,인사팀,,"{""satisfaction_score"": 2, ""usability_score"": 3, ""speed_score"": 3}",모바일 화면 개선,0.9512,,True
S-0067,survey,data/input_images/surveys/survey_067_S-0067.jpg,2026-07-02,마케팅팀,,"{""satisfaction_score"": 5, ""usability_score"": 4, ""speed_score"": 5}",메뉴 구성이 좋음,0.8643,,True
R-0077,receipt,data/input_images/receipts/receipt_077_R-0077.jpg,2026-04-04,업무자동화카페,63800.0,,,0.9739,,True
R-0021,receipt,data/input_images/receipts/receipt_021_R-0021.jpg,2026-04-04,데이터랩서점,20350.0,,,0.9232,,True
S-0023,survey,data/input_images/surveys/survey_023_S-0023.jpg,2026-05-23,기획팀,,"{""satisfaction_score"": 3, ""usability_score"": 2, ""speed_score"": null}",보고서 자동화 유용,0.8843,,True
S-0059,survey,data/input_images/surveys/survey_059_S-0059.jpg,2026-04-19,인사팀,,"{""satisfaction_score"": 3, ""usability_score"": 4, ""speed_score"": 1}",,0.9279,,True
S-0010,survey,data/input_images/surveys/survey_010_S-0010.jpg,2026-03-12,운영팀,,"{""satisfaction_score"": 5, ""usability_score"": 3, ""speed_score"": 4}",속도 개선 필요,0.9557,,True
S-0025,survey,data/input_images/surveys/survey_025_S-0025.jpg,2026-06-27,재무팀,,"{""satisfaction_score"": 2, ""usability_score"": 4, ""speed_score"": 2}",차트 설명이 필요함,0.9402,,True
S-0087,survey,data/input_images/surveys/survey_087_S-0087.jpg,2026-03-29,데이터팀,,"{""satisfaction_score"": 5, ""usability_score"": 2, ""speed_score"": 2}",차트 설명이 필요함,0.9217,,True
S-0112,survey,data/input_images/surveys/survey_112_S-0112.jpg,2026-06-28,기획팀,,"{""satisfaction_score"": 5, ""usability_score"": 2, ""speed_score"": 3}",속도 개선 필요,0.9485,,True
R-0004,receipt,data/input_images/receipts/receipt_004_R-0004.jpg,2026-06-14,서울프린트,206250.0,,,0.7913,,True
S-0084,survey,data/input_images/surveys/survey_084_S-0084.jpg,2026-03-24,재무팀,,"{""satisfaction_score"": 4, ""usability_score"": null, ""speed_score"": null}",데이터 보정 기능 좋음,0.8805,,True
R-0043,receipt,data/input_images/receipts/receipt_043_R-0043.jpg,2026-04-29,테크문구,166650.0,,,0.8566,,True
R-0075,receipt,data/input_images/receipts/receipt_075_R-0075.jpg,2026-05-09,서울프린트,,,,0.828,,True
S-0042,survey,data/input_images/surveys/survey_042_S-0042.jpg,2026-05-10,데이터팀,,"{""satisfaction_score"": 3, ""usability_score"": 5, ""speed_score"": 4}",보고서 자동화 유용,0.9612,,True
R-0013,receipt,data/input_images/receipts/receipt_013_R-0013.jpg,2026-05-24,클라우드문구,126500.0,,,0.9307,,True
S-0071,survey,data/input_images/surveys/survey_071_S-0071.jpg,2026-07-05,데이터팀,,"{""satisfaction_score"": 5, ""usability_score"": null, ""speed_score"": 2}",데이터 보정 기능 좋음,0.8482,,True
S-0114,survey,data/input_images/surveys/survey_114_S-0114.jpg,2026-03-21,운영팀,,"{""satisfaction_score"": 4, ""usability_score"": 3, ""speed_score"": 4}",속도 개선 필요,0.9293,,True
S-0049,survey,data/input_images/surveys/survey_049_S-0049.jpg,2026-06-26,교육팀,,"{""satisfaction_score"": 5, ""usability_score"": 4, ""speed_score"": 1}",차트 설명이 필요함,0.9154,,True
R-0049,receipt,data/input_images/receipts/receipt_049_R-0049.jpg,2026-03-28,테크문구,115500.0,,,0.9154,,True
S-0076,survey,data/input_images/surveys/survey_076_S-0076.jpg,2026-05-06,인사팀,,"{""satisfaction_score"": 5, ""usability_score"": 5, ""speed_score"": 3}",메뉴 구성이 좋음,0.9396,,True
R-0095,receipt,data/input_images/receipts/receipt_095_R-0095.jpg,2026-03-08,스마트오피스,125950.0,,,0.9708,,True
R-0016,receipt,data/input_images/receipts/receipt_016_R-0016.jpg,2026-07-05,모두카페,79750.0,,,0.9389,,True
S-0006,survey,data/input_images/surveys/survey_006_S-0006.jpg,2026-06-09,인사팀,,"{""satisfaction_score"": 3, ""usability_score"": 5, ""speed_score"": 5}",,0.8704,,True
R-0061,receipt,data/input_images/receipts/receipt_061_R-0061.jpg,2026-06-04,데이터랩서점,255200.0,,,0.9496,,True
R-0035,receipt,data/input_images/receipts/receipt_035_R-0035.jpg,2026-04-12,클라우드문구,132000.0,,,0.9539,,True
S-0085,survey,data/input_images/surveys/survey_085_S-0085.jpg,2026-05-24,재무팀,,"{""satisfaction_score"": 3, ""usability_score"": 3, ""speed_score"": 1}",속도 개선 필요,0.8477,,True
R-0084,receipt,data/input_images/receipts/receipt_084_R-0084.jpg,2026-05-26,서울프린트,134200.0,,,0.9685,,True
S-0103,survey,data/input_images/surveys/survey_103_S-0103.jpg,2026-05-31,인사팀,,"{""satisfaction_score"": 5, ""usability_score"": 5, ""speed_score"": 3}",OCR 결과 확인 필요,0.9883,,True
S-0065,survey,data/input_images/surveys/survey_065_S-0065.jpg,2026-06-05,교육팀,,"{""satisfaction_score"": 2, ""usability_score"": 3, ""speed_score"": 2}",차트 설명이 필요함,0.8116,,True
S-0073,survey,data/input_images/surveys/survey_073_S-0073.jpg,2026-06-08,마케팅팀,,"{""satisfaction_score"": 4, ""usability_score"": 3, ""speed_score"": 2}",대시보드가 보기 쉬움,0.9324,,True
S-0014,survey,data/input_images/surveys/survey_014_S-0014.jpg,2026-04-24,데이터팀,,"{""satisfaction_score"": 5, ""usability_score"": 2, ""speed_score"": 3}",OCR 결과 확인 필요,0.9185,,True
S-0048,survey,data/input_images/surveys/survey_048_S-0048.jpg,2026-06-26,기획팀,,"{""satisfaction_score"": 5, ""usability_score"": 5, ""speed_score"": 1}",입력 절차가 간단함,0.9539,,True
R-0085,receipt,data/input_images/receipts/receipt_085_R-0085.jpg,2026-07-01,스마트오피스,219450.0,,,0.926,,True
R-0001,receipt,data/input_images/receipts/receipt_001_R-0001.jpg,2026-05-10,모두카페,114950.0,,,0.8732,,True
R-0096,receipt,data/input_images/receipts/receipt_096_R-0096.jpg,2026-04-14,테크문구,137500.0,,,0.9396,,True
R-0100,receipt,data/input_images/receipts/receipt_100_R-0100.jpg,2026-04-20,클라우드문구,83050.0,,,0.83,,True
S-0077,survey,data/input_images/surveys/survey_077_S-0077.jpg,2026-05-08,운영팀,,"{""satisfaction_score"": 4, ""usability_score"": 5, ""speed_score"": 1}",메뉴 구성이 좋음,0.9739,,True
S-0079,survey,data/input_images/surveys/survey_079_S-0079.jpg,2026-06-28,교육팀,,"{""satisfaction_score"": 2, ""usability_score"": 3, ""speed_score"": 3}",차트 설명이 필요함,0.9216,,True
R-0047,receipt,data/input_images/receipts/receipt_047_R-0047.jpg,2026-06-03,데이터랩서점,73150.0,,,0.8273,,True
R-0009,receipt,data/input_images/receipts/receipt_009_R-0009.jpg,2026-03-04,데이터랩서점,180950.0,,,0.947,,True
